Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Make_Model
20001211X11766,Accident,ANC93FA034,1993-02-20,"NOME, AK",United States,,,OME,NOME,Non-Fatal,Destroyed,,N4182G,Cessna,402C,No,2.0,Reciprocating,,SCHD,Unknown,Ryan Air Service,0.0,0.0,0.0,2.0,IMC,Takeoff,Probable Cause,15-11-1993,Cessna 402C
20001211X12020,Incident,MIA93IA083,1993-03-07,"EVERGLADES CITY, FL",United States,,,XO1,EVERGLADES,Incident,Minor,,N3836C,Aero Commander,500,No,2.0,Reciprocating,,NSCH,Unknown,Palm Beach Aviation,0.0,0.0,0.0,7.0,VMC,Takeoff,Probable Cause,30-06-1994,Aero Commander 500
20001211X12048,Accident,SEA93LA081,1993-03-22,"FRIDAY HARBOR, WA",United States,,,FHR,FRIDAY HARBOR,Non-Fatal,Substantial,,N8768Q,Cessna,U206F,No,1.0,Reciprocating,,SCHD,Unknown,West Isle Air,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,13-10-1993,Cessna U206F
20001211X11914,Incident,BFO93IA057,1993-03-23,"ROCHESTER, NY",United States,,,,,Incident,Minor,,N496UE,British Aerospace,BAE3201,No,2.0,Turbo Prop,,SCHD,Unknown,Atlantic Coast Airlines (dba: United Express),0.0,0.0,0.0,2.0,VMC,Climb,Probable Cause,03-11-1993,British Aerospace BAE3201
20001211X11963,Accident,DCA93MA033,1993-03-31,"ANCHORAGE, AK",United States,,,ANC,ANCHORAGE INTL,Non-Fatal,Substantial,,N473EV,Boeing,747-121,No,4.0,Turbo Fan,,SCHD,Unknown,Japan Airlines,0.0,0.0,0.0,5.0,VMC,Climb,Probable Cause,10-05-1994,Boeing 747-121
20001211X12153,Incident,FTW93IA125,1993-04-12,"ALEXANDRIA, LA",United States,,,,,Incident,Minor,,9KADD,Boeing,747-269BC,No,4.0,Turbo Jet,,NSCH,Unknown,(dba: Kuwait Airlines),0.0,0.0,0.0,40.0,VMC,Climb,Probable Cause,26-09-1994,Boeing 747-269BC
20001211X12056,Accident,ANC93LA052,1993-04-12,"KASIGLUK, AK",United States,,,Z09,KASIGLUK,Non-Fatal,Substantial,,N13147,Cessna,172M,No,1.0,Reciprocating,,SCHD,Unknown,Yute Air Alaska,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,31-08-1994,Cessna 172M
20001211X12264,Accident,ANC93LA059,1993-05-01,"KASIGLUK, AK",United States,,,Z09,KASIGLUK,Non-Fatal,Substantial,,N6332D,Cessna,172,No,1.0,Reciprocating,,NSCH,Unknown,(dba: Robair),0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,18-08-1994,Cessna 172
20001211X12347,Accident,CHI93LA160,1993-05-04,"MUSKEGON, MI",United States,,,MKG,MUSKEGON COUNTY,Non-Fatal,Substantial,,N254AT,Aerospatiale,ATR-42-300,No,2.0,Turbo Prop,,SCHD,Unknown,Simmons Airlines (dba: American Eagle),0.0,0.0,0.0,44.0,VMC,Landing,Probable Cause,03-11-1993,Aerospatiale ATR-42-300
20001211X12455,Accident,MIA93LA119,1993-05-11,"OCHOPEE, FL",United States,,,TNT,DADE COLLIER,Non-Fatal,Substantial,,N9985V,Cessna,172M,No,1.0,Reciprocating,,NSCH,Unknown,Wyatt Aviation Services,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,25-03-1994,Cessna 172M
20001211X12401,Accident,FTW93LA162,1993-05-22,"TIMBALIER ISLE, LA",United States,,,,,Non-Fatal,Substantial,,N3588,Cessna,A185F,No,1.0,Reciprocating,,NSCH,Unknown,Southern Seaplane Inc.,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,25-10-1993,Cessna A185F
20001211X12269,Accident,ANC93LA068,1993-05-25,"KIVALINA, AK",United States,,,KVL,KIVALINA,Non-Fatal,Substantial,,N401NA,Cessna,402B,No,2.0,Reciprocating,,SCHD,Unknown,Alaska Island Air,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,18-08-1994,Cessna 402B
